name_a,name_b,weight
PR.0.77.1,PR.0.76.1,4800
PR.0.99.1,PR.0.100.0,7600
PR.0.112.1,PR.0.111.1,1000
PR.0.28.0,PR.0.29.0,3400
PR.0.48.1,PR.0.49.0,7400
PR.0.61.1,PR.0.60.0,6000
PR.0.95.1,PR.0.96.0,3402
PR.0.0.1,PR.0.1.0,5800
PR.0.104.0,PR.0.103.1,3200
PR.0.22.1,PR.0.21.0,5600
PR.0.109.0,PR.0.108.0,2000
PR.0.82.1,PR.0.83.0,5400
PR.0.44.0,PR.0.45.0,11800
PR.0.106.1,PR.0.107.0,11800
PR.0.84.1,PR.0.85.0,5200
PR.0.100.0,PR.0.101.0,2800
PR.0.63.1,PR.0.62.0,1200
PR.0.96.0,PR.0.95.0,200
PR.0.87.1,PR.0.86.1,10200
PR.0.90.1,PR.0.91.1,5800
PR.0.89.0,PR.0.88.1,13200
PR.0.1.1,PR.0.0.0,8000
PR.0.3.1,PR.0.4.0,1200
PR.0.77.0,PR.0.78.0,5800
PR.0.115.1,PR.0.114.0,10600
PR.0.95.1,PR.0.94.1,8602
PR.0.115.0,PR.0.114.1,9400
PR.0.78.0,PR.0.79.0,3600
PR.0.88.0,PR.0.89.1,12800
PR.0.18.0,PR.0.16.0,2502
PR.0.14.1,PR.0.13.1,3067
PR.0.6.1,PR.0.7.1,600
PR.0.96.1,PR.0.95.0,4602
PR.0.97.0,PR.0.95.0,67
PR.0.97.0,PR.0.96.1,667
PR.0.99.1,PR.0.100.1,400
PR.0.66.0,PR.0.67.0,5200
PR.0.107.1,PR.0.106.0,11600
PR.0.74.0,PR.0.73.1,2800
PR.0.25.1,PR.0.24.0,6600
PR.0.11.1,PR.0.10.0,4000
PR.0.109.1,PR.0.110.1,2400
PR.0.28.1,PR.0.29.1,5600
PR.0.55.1,PR.0.54.1,9667
PR.0.94.0,PR.0.95.0,8135
PR.0.82.1,PR.0.83.1,400
PR.0.66.1,PR.0.67.1,5400
PR.0.112.1,PR.0.113.0,2000
PR.0.15.1,PR.0.16.1,1834
PR.0.85.0,PR.0.86.1,4800
PR.0.82.0,PR.0.83.1,5600
PR.0.60.1,PR.0.61.0,3600
PR.0.86.0,PR.0.87.0,13800
PR.0.36.1,PR.0.35.0,1800
PR.0.58.0,PR.0.59.1,6200
PR.0.93.1,PR.0.94.1,1600
PR.0.41.1,PR.0.40.0,1000
PR.0.68.1,PR.0.69.0,4000
PR.0.9.0,PR.0.10.1,3400
PR.0.58.1,PR.0.59.0,5000
PR.0.47.1,PR.0.48.0,2800
PR.0.94.0,PR.0.93.0,2000
PR.0.10.1,PR.0.11.0,4400
PR.0.101.1,PR.0.100.1,3000
PR.0.90.1,PR.0.89.0,6600
PR.0.110.0,PR.0.109.1,200
PR.0.33.1,PR.0.32.0,200
PR.0.50.0,PR.0.51.0,200
PR.0.11.1,PR.0.12.1,3600
PR.0.55.1,PR.0.56.0,4467
PR.0.113.0,PR.0.114.0,2800
PR.0.22.0,PR.0.21.1,4400
PR.0.56.1,PR.0.55.0,4267
PR.0.54.0,PR.0.55.0,9067
PR.0.66.1,PR.0.65.1,400
PR.0.106.1,PR.0.105.0,200
PR.0.9.1,PR.0.10.0,3400
PR.0.77.0,PR.0.76.0,5600
PR.0.2.1,PR.0.3.0,2400
PR.0.113.0,PR.0.114.1,200
PR.0.44.1,PR.0.43.0,5000
PR.0.17.0,PR.0.16.0,1268
PR.0.17.0,PR.0.18.0,467
PR.0.104.0,PR.0.105.1,2000
PR.0.99.0,PR.0.98.0,3000
PR.0.85.1,PR.0.86.0,6600
PR.0.109.0,PR.0.110.0,2600
PR.0.89.1,PR.0.90.0,6000
PR.0.12.0,PR.0.11.0,4800
PR.0.56.1,PR.0.57.0,1600
PR.0.36.0,PR.0.35.1,2600
PR.0.98.1,PR.0.99.1,1800
PR.0.74.0,PR.0.75.1,2600
PR.0.75.0,PR.0.76.0,6067
PR.0.74.1,PR.0.75.0,3467
PR.0.13.0,PR.0.14.0,3800
PR.0.52.1,PR.0.51.1,600
PR.0.44.1,PR.0.45.1,10600
PR.0.99.0,PR.0.100.1,5400
PR.0.12.0,PR.0.13.1,2267
PR.0.109.1,PR.0.108.1,2000
PR.0.25.0,PR.0.24.1,6000
PR.0.3.1,PR.0.2.0,4400
PR.0.93.1,PR.0.92.0,3000
PR.0.112.0,PR.0.113.1,4400
PR.0.113.1,PR.0.114.1,2000
PR.0.53.1,PR.0.54.1,1800
PR.0.20.1,PR.0.21.0,800
PR.0.104.1,PR.0.103.0,2200
PR.0.0.1,PR.0.1.1,1800
PR.0.28.0,PR.0.27.0,4000
PR.0.91.1,PR.0.92.0,1000
PR.0.53.0,PR.0.54.0,3800
PR.0.71.1,PR.0.72.0,5467
PR.0.94.1,PR.0.95.0,400
PR.0.15.0,PR.0.18.0,3835
PR.0.28.1,PR.0.27.1,2800
PR.0.36.1,PR.0.37.0,800
PR.0.15.1,PR.0.14.0,2200
PR.0.77.1,PR.0.78.1,3600
PR.0.64.0,PR.0.65.0,2200
PR.0.15.0,PR.0.16.0,2702
PR.0.72.1,PR.0.73.1,2600
PR.0.71.0,PR.0.73.1,600
PR.0.91.0,PR.0.90.0,4600
PR.0.38.1,PR.0.37.1,200
PR.0.79.1,PR.0.78.0,200
PR.0.79.1,PR.0.78.1,5600
PR.0.96.0,PR.0.94.1,402
PR.0.44.0,PR.0.43.1,3600
PR.0.60.1,PR.0.59.0,800
PR.0.72.0,PR.0.73.0,1867
PR.0.7.0,PR.0.8.1,1000
PR.0.18.1,PR.0.16.1,3468
PR.0.71.1,PR.0.70.1,1600
PR.0.71.0,PR.0.70.0,1801
PR.0.17.0,PR.0.15.0,267
PR.0.42.0,PR.0.43.0,600
PR.0.104.1,PR.0.105.0,1400
PR.0.83.0,PR.0.84.0,3200
PR.0.112.0,PR.0.111.0,1600
PR.0.12.1,PR.0.13.0,5200
PR.0.85.1,PR.0.84.0,3800
PR.0.14.1,PR.0.15.0,3000
PR.0.26.0,PR.0.27.0,800
PR.0.95.1,PR.0.96.1,200
PR.0.105.0,PR.0.106.0,1600
PR.0.29.0,PR.0.30.0,600
PR.0.15.1,PR.0.16.0,334
PR.0.15.1,PR.0.18.1,1967
PR.0.18.1,PR.0.16.0,467
PR.0.55.0,PR.0.54.1,1400
PR.0.75.1,PR.0.76.1,4800
PR.0.56.0,PR.0.54.1,67
PR.0.74.1,PR.0.73.0,2200
PR.0.4.1,PR.0.3.0,1600
PR.0.57.1,PR.0.56.0,1600
PR.0.51.0,PR.0.52.0,800
PR.0.49.1,PR.0.48.0,6000
PR.0.55.1,PR.0.54.0,200
PR.0.84.1,PR.0.83.1,1800
PR.0.47.0,PR.0.48.1,2400
PR.0.92.1,PR.0.93.0,2800
PR.0.7.0,PR.0.6.0,1600
PR.0.17.1,PR.0.16.1,768
PR.0.17.1,PR.0.18.1,1034
PR.0.94.0,PR.0.96.1,335
PR.0.33.0,PR.0.32.1,600
PR.0.86.1,PR.0.87.0,800
PR.0.92.1,PR.0.91.0,1400
PR.0.26.1,PR.0.27.1,1000
PR.0.47.1,PR.0.46.0,1000
PR.0.47.0,PR.0.46.1,800
PR.0.71.1,PR.0.73.0,67
PR.0.9.1,PR.0.10.1,400
PR.0.23.1,PR.0.24.1,400
PR.0.96.0,PR.0.97.1,400
PR.0.36.0,PR.0.37.1,200
PR.0.61.0,PR.0.60.0,1400
PR.0.28.0,PR.0.29.1,800
PR.0.69.1,PR.0.70.1,400
PR.0.69.1,PR.0.68.0,800
PR.0.56.1,PR.0.54.0,67
PR.0.53.0,PR.0.52.0,400
PR.0.101.1,PR.0.102.0,1400
PR.0.42.0,PR.0.41.0,400
PR.0.89.0,PR.0.90.0,400
PR.0.107.1,PR.0.108.1,400
PR.0.49.1,PR.0.50.0,800
PR.0.42.1,PR.0.43.1,600
PR.0.71.0,PR.0.72.0,200
PR.0.71.0,PR.0.72.1,3801
PR.0.63.0,PR.0.64.0,400
PR.0.106.1,PR.0.105.1,1200
PR.0.25.1,PR.0.26.1,600
PR.0.63.0,PR.0.62.1,400
PR.0.102.1,PR.0.101.0,2400
PR.0.12.1,PR.0.13.1,600
PR.0.97.0,PR.0.98.0,1200
PR.0.47.1,PR.0.46.1,200
PR.0.72.1,PR.0.70.0,401
PR.0.87.1,PR.0.43.0,200
PR.0.77.1,PR.0.78.0,200
PR.0.18.0,PR.0.19.1,233
PR.0.58.0,PR.0.57.0,200
PR.0.57.1,PR.0.58.1,1000
PR.0.12.1,PR.0.11.0,200
PR.0.50.1,PR.0.49.0,1000
PR.0.98.1,PR.0.97.1,1200
PR.0.15.0,PR.0.13.1,200
PR.0.16.0,PR.0.19.1,167
PR.0.17.0,PR.0.19.1,134
PR.0.28.1,PR.0.27.0,200
PR.0.66.0,PR.0.65.0,400
PR.0.50.1,PR.0.51.1,200
PR.0.91.1,PR.0.90.0,200
PR.0.78.1,PR.0.79.0,200
PR.0.45.0,PR.0.46.0,800
PR.0.60.0,PR.0.59.1,1200
PR.0.52.1,PR.0.53.1,1200
PR.0.40.1,PR.0.41.0,200
PR.0.39.0,PR.0.40.1,200
PR.0.80.1,PR.0.81.0,200
PR.0.48.0,PR.0.49.0,400
PR.0.29.1,PR.0.30.1,400
PR.0.15.0,PR.0.19.1,33
PR.0.17.1,PR.0.15.1,201
PR.0.91.0,PR.0.92.0,200
PR.0.56.0,PR.0.57.0,200
PR.0.74.1,PR.0.75.1,200
PR.0.99.0,PR.0.100.0,400
PR.0.70.0,PR.0.43.1,200
PR.0.104.1,PR.0.105.1,200
PR.0.71.1,PR.0.72.1,200
PR.0.77.0,PR.0.76.1,200
PR.0.25.0,PR.0.26.0,400
PR.0.33.1,PR.0.32.1,200
PR.0.115.0,PR.0.114.0,400
PR.0.19.0,PR.0.16.1,200
PR.0.18.1,PR.0.19.0,200
PR.0.28.0,PR.0.27.1,200
PR.0.55.1,PR.0.56.1,200
PR.0.20.0,PR.0.21.1,200
PR.0.1.0,PR.0.0.0,200
PR.0.72.1,PR.0.73.0,200
PR.0.43.0,PR.0.70.1,200
PR.0.14.1,PR.0.12.0,67
PR.0.74.1,PR.0.76.0,67
PR.0.10.0,PR.0.62.1,200
PR.0.107.0,PR.0.106.0,200
PR.0.85.0,PR.0.86.0,200
PR.0.64.1,PR.0.65.1,200
PR.0.15.1,PR.0.19.0,33
PR.0.60.1,PR.0.61.1,200
PR.0.34.0,PR.0.35.0,200
PR.0.15.0,PR.0.19.0,200
PR.0.106.0,PR.0.105.1,200
PR.0.82.0,PR.0.83.0,200
PR.0.53.1,PR.0.54.0,200
PR.0.109.1,PR.0.38.0,200
PR.0.17.1,PR.0.19.0,33
PR.0.63.1,PR.0.64.1,200
PR.0.80.0,PR.0.81.1,200
PR.0.7.1,PR.0.8.0,200
PR.0.25.0,PR.0.24.0,200
PR.0.17.1,PR.0.16.0,67
PR.0.90.1,PR.0.89.1,200
PR.0.99.1,PR.0.98.0,200
